ID_Transaksi,Jumlah_Transaksi,Jenis_Transaksi,Lokasi,Kanal_Transaksi,Usia_Nasabah,Pekerjaan_Nasabah,Durasi_Transaksi,Saldo_Akun,Jumlah_Transaksi_Log,Kluster,Nama_Segmen
TX000052,424.56,Debit,Omaha,Online,51.0,Engineer,264.0,5183.85,6.053405948648165,1,C1 - Saver 
TX000053,85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,14904.9,4.459334837764547,1,C1 - Saver 
TX000054,169.5,Debit,San Diego,Branch,28.0,Student,142.0,918.88,5.1387352967235715,2,C2- Young & Active
TX000055,104.63,Debit,Omaha,ATM,62.0,Retired,90.0,4477.78,4.659942421835071,1,C1 - Saver 
TX000056,316.95,Debit,Mesa,Branch,25.0,Student,83.0,1324.03,5.7618941377134165,2,C2- Young & Active
TX000057,60.54,Credit,Columbus,Branch,57.0,Retired,52.0,3534.93,4.119687369893896,1,C1 - Saver 
TX000058,292.56,Credit,Dallas,Branch,68.0,Retired,61.0,4638.37,5.682082047676862,1,C1 - Saver 
TX000059,386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,5630.61,5.959767460364727,1,C1 - Saver 
TX000060,112.07,Debit,Kansas City,Branch,23.0,Student,51.0,930.3,4.728007095947154,2,C2- Young & Active
TX000061,568.52,Debit,Indianapolis,ATM,46.0,Engineer,152.0,5499.91,6.344793900795618,0,C0 - High Spender  
TX000062,263.99,Debit,Dallas,Branch,79.0,Retired,227.0,4175.02,5.5796920894251505,1,C1 - Saver 
TX000063,349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,6651.62,5.859760056110554,1,C1 - Saver 
TX000064,601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,8458.29,6.400921676485684,0,C0 - High Spender  
TX000065,5.77,Debit,Charlotte,Online,50.0,Doctor,124.0,13988.12,1.9125010869241836,1,C1 - Saver 
TX000066,201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,2585.07,5.3099000277911035,2,C2- Young & Active
TX000067,298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,3014.75,5.70184727002169,1,C1 - Saver 
TX000068,521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1951.42,6.257782523805988,2,C2- Young & Active
TX000069,117.28,Credit,Austin,Online,60.0,Engineer,16.0,3665.77,4.7730546949842765,1,C1 - Saver 
TX000071,133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,3846.28,4.901935877172915,1,C1 - Saver 
TX000072,143.21,Debit,Dallas,Online,35.0,Engineer,135.0,6374.82,4.971270570573979,1,C1 - Saver 
TX000073,24.77,Debit,Boston,ATM,62.0,Retired,55.0,5866.01,3.2492110246642736,1,C1 - Saver 
TX000074,233.92,Credit,Jacksonville,Online,26.0,Student,280.0,6537.62,5.459245030654318,2,C2- Young & Active
TX000075,1212.51,Debit,Indianapolis,Branch,20.0,Student,24.0,605.95,7.10127226575899,0,C0 - High Spender  
TX000078,91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.0,14676.05,4.527532916260939,1,C1 - Saver 
TX000079,120.29,Debit,Miami,Branch,19.0,Student,77.0,1362.39,4.798184372320789,2,C2- Young & Active
TX000080,174.25,Debit,Seattle,Online,50.0,Doctor,67.0,10528.34,5.166213525914699,1,C1 - Saver 
TX000081,183.71,Debit,Denver,ATM,38.0,Engineer,102.0,552.52,5.218787027591229,2,C2- Young & Active
TX000083,922.55,Debit,Detroit,ATM,63.0,Retired,87.0,4715.84,6.828224940025329,0,C0 - High Spender  
TX000084,259.91,Debit,Denver,Online,49.0,Doctor,170.0,7176.86,5.564175520269783,1,C1 - Saver 
TX000085,154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1523.72,5.047995302853334,2,C2- Young & Active
TX000086,1340.19,Credit,Austin,Online,54.0,Engineer,30.0,8654.28,7.201312558554734,0,C0 - High Spender  
TX000087,24.56,Debit,Mesa,Branch,64.0,Doctor,69.0,9869.93,3.241028629509334,1,C1 - Saver 
TX000089,9.61,Credit,San Diego,Online,58.0,Doctor,179.0,12883.91,2.361796952625892,1,C1 - Saver 
TX000090,392.96,Debit,Kansas City,Online,24.0,Student,100.0,791.65,5.976249381301502,2,C2- Young & Active
TX000091,716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,4064.02,6.576372071259257,0,C0 - High Spender  
TX000092,223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,2929.91,5.415433513216716,1,C1 - Saver 
TX000093,230.66,Debit,Houston,Branch,21.0,Student,135.0,618.05,5.4452707795042,2,C2- Young & Active
TX000094,442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1375.8,6.093840613724849,2,C2- Young & Active
TX000095,644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1143.52,6.469513847959858,2,C2- Young & Active
TX000096,508.68,Credit,Mesa,Branch,51.0,Engineer,127.0,7708.41,6.233783077808233,1,C1 - Saver 
TX000097,858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1872.96,6.756502064112833,0,C0 - High Spender  
TX000098,25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,201.04,3.2718477096343066,2,C2- Young & Active
TX000099,147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,2115.8,5.001392712729324,1,C1 - Saver 
TX000100,115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,7643.66,4.753762590037918,1,C1 - Saver 
TX000101,383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,8901.93,5.951605630346094,1,C1 - Saver 
TX000104,196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,9418.86,5.284015581837177,1,C1 - Saver 
TX000105,129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,7954.92,4.874739203012945,1,C1 - Saver 
TX000106,306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.0,9418.08,5.729775054930455,1,C1 - Saver 
TX000107,114.98,Debit,Seattle,Online,59.0,Retired,80.0,6144.68,4.7534177624482945,1,C1 - Saver 
TX000108,756.59,Debit,Sacramento,Branch,27.0,Student,17.0,420.65,6.63014234220714,0,C0 - High Spender  
TX000109,503.76,Debit,Los Angeles,Online,22.0,Student,35.0,447.82,6.22408306878471,2,C2- Young & Active
TX000110,143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,7981.45,4.970021611210958,1,C1 - Saver 
TX000113,254.37,Credit,Dallas,Online,51.0,Engineer,174.0,8849.26,5.542713473895698,1,C1 - Saver 
TX000114,213.76,Credit,Dallas,ATM,78.0,Retired,282.0,3528.72,5.3695211255543684,1,C1 - Saver 
TX000115,327.86,Debit,Fresno,Online,40.0,Engineer,104.0,480.16,5.79563212828608,2,C2- Young & Active
TX000116,2.5,Debit,San Diego,Online,47.0,Doctor,107.0,12145.27,1.252762968495368,1,C1 - Saver 
TX000117,300.08,Credit,Austin,Online,68.0,Doctor,47.0,13546.75,5.707376010166331,1,C1 - Saver 
TX000118,56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,5688.37,4.06009812349351,1,C1 - Saver 
TX000119,407.65,Debit,Boston,Online,26.0,Engineer,62.0,8346.64,6.0128590439621385,2,C2- Young & Active
TX000120,115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,6481.04,4.760719886729057,1,C1 - Saver 
TX000121,53.57,Debit,Houston,ATM,69.0,Retired,121.0,1651.33,3.9994842811981406,1,C1 - Saver 
TX000122,63.34,Credit,Detroit,Online,46.0,Doctor,165.0,11174.94,4.16418152181088,1,C1 - Saver 
TX000123,317.87,Debit,Detroit,Online,27.0,Student,91.0,145.5,5.7647834962136,2,C2- Young & Active
TX000124,331.65,Debit,Portland,Online,41.0,Engineer,61.0,4172.57,5.807090886187897,2,C2- Young & Active
TX000125,5.04,Debit,Washington,ATM,56.0,Retired,41.0,5558.36,1.7984040119467237,1,C1 - Saver 
TX000126,214.54,Credit,Detroit,Online,70.0,Doctor,247.0,11151.53,5.373146507168686,1,C1 - Saver 
TX000127,598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1415.52,6.396612938400003,0,C0 - High Spender  
TX000128,841.28,Debit,Tucson,Online,26.0,Student,80.0,1103.64,6.73611250053033,0,C0 - High Spender  
TX000129,38.15,Debit,Mesa,Online,26.0,Student,108.0,303.68,3.667400422436812,2,C2- Young & Active
TX000130,1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,5541.57,6.944723457082125,0,C0 - High Spender  
TX000131,124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,6309.8,4.834057211929367,2,C2- Young & Active
TX000132,302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,5133.61,5.7152168522818645,1,C1 - Saver 
TX000133,208.04,Debit,Louisville,Online,47.0,Engineer,273.0,9344.98,5.342525621212357,1,C1 - Saver 
TX000134,5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1117.97,1.9125010869241836,2,C2- Young & Active
TX000135,381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,11835.35,5.94628411002744,1,C1 - Saver 
TX000136,16.16,Debit,Milwaukee,ATM,50.0,Doctor,124.0,14401.17,2.8425810940598164,1,C1 - Saver 
TX000137,486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1748.69,6.188428380638807,2,C2- Young & Active
TX000138,336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1000.46,5.82123953126126,2,C2- Young & Active
TX000139,997.43,Debit,Seattle,Online,69.0,Doctor,118.0,6810.05,6.906184045240652,0,C0 - High Spender  
TX000140,234.57,Debit,Chicago,Online,23.0,Student,120.0,263.98,5.462008109204515,2,C2- Young & Active
TX000141,6.0,Debit,Chicago,Online,30.0,Doctor,246.0,5442.76,1.9459101490553132,2,C2- Young & Active
TX000142,1049.92,Debit,Detroit,ATM,80.0,Retired,21.0,2037.85,6.957421249996957,0,C0 - High Spender  
TX000143,227.14,Debit,Charlotte,ATM,18.0,Student,294.0,341.94,5.429959475599752,2,C2- Young & Active
TX000144,233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1066.59,5.458478518671978,1,C1 - Saver 
TX000146,45.85,Debit,Los Angeles,ATM,20.0,Student,92.0,1659.15,3.846951008684431,2,C2- Young & Active
TX000147,973.39,Debit,Sacramento,Branch,77.0,Retired,296.0,2042.22,6.881811634177191,0,C0 - High Spender  
TX000149,415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,10113.66,6.031886461606898,1,C1 - Saver 
TX000150,265.76,Debit,Philadelphia,Online,54.0,Retired,92.0,4446.17,5.586349377764106,1,C1 - Saver 
TX000151,69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,6452.77,4.254193263163997,1,C1 - Saver 
TX000152,332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,2788.2,5.810931390173244,2,C2- Young & Active
TX000153,267.9,Debit,San Antonio,Online,20.0,Student,160.0,596.16,5.5943395632748185,2,C2- Young & Active
TX000154,496.03,Debit,San Francisco,Branch,61.0,Doctor,265.0,12904.66,6.208650386447944,1,C1 - Saver 
TX000155,376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,9062.4,5.932934604917579,1,C1 - Saver 
TX000156,83.02,Credit,Seattle,Online,36.0,Engineer,171.0,9009.56,4.431054865741236,1,C1 - Saver 
TX000157,93.26,Credit,New York,Online,20.0,Student,72.0,1152.2,4.546056921495585,2,C2- Young & Active
TX000158,803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,12168.37,6.690059362324856,0,C0 - High Spender  
TX000159,35.76,Debit,Charlotte,Branch,23.0,Student,122.0,611.86,3.6044102974874863,2,C2- Young & Active
TX000160,28.53,Debit,Washington,Online,62.0,Doctor,99.0,8670.53,3.3854066957558313,1,C1 - Saver 
TX000161,139.53,Credit,Louisville,Online,53.0,Doctor,177.0,10098.86,4.9454209891126535,1,C1 - Saver 
TX000162,307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,5307.74,5.731948721982551,2,C2- Young & Active
TX000163,60.65,Credit,Tucson,Branch,56.0,Retired,53.0,1047.28,4.121473229610353,1,C1 - Saver 
TX000164,74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,6921.48,4.3288895362607525,1,C1 - Saver 
TX000166,231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,112.76,5.450652112851316,2,C2- Young & Active
TX000167,126.21,Debit,Baltimore,Branch,75.0,Retired,268.0,5669.66,4.845839264168119,1,C1 - Saver 
TX000168,506.28,Credit,Chicago,Online,53.0,Retired,162.0,1309.95,6.2290631193917765,0,C0 - High Spender  
TX000169,304.35,Debit,Houston,Branch,31.0,Engineer,36.0,4057.1,5.7214586596691435,2,C2- Young & Active
TX000170,281.85,Debit,Detroit,ATM,22.0,Student,109.0,1585.98,5.644916721789165,2,C2- Young & Active
TX000171,777.88,Debit,Houston,Branch,31.0,Engineer,17.0,6825.55,6.657856990359107,0,C0 - High Spender  
TX000172,119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,5516.5,4.788990618905782,1,C1 - Saver 
TX000173,177.19,Debit,Chicago,Online,76.0,Retired,43.0,5343.3,5.182850396739323,1,C1 - Saver 
TX000174,260.88,Debit,Denver,Branch,22.0,Student,36.0,903.05,5.5678863835728905,2,C2- Young & Active
TX000175,169.47,Debit,Chicago,Online,24.0,Student,19.0,1806.16,5.138559328162834,2,C2- Young & Active
TX000176,73.23,Debit,Portland,Branch,26.0,Student,14.0,787.74,4.307168381129456,2,C2- Young & Active
TX000177,1362.55,Debit,El Paso,ATM,29.0,Engineer,106.0,2429.68,7.217846871947003,0,C0 - High Spender  
TX000178,792.57,Debit,Baltimore,ATM,19.0,Student,164.0,770.37,6.676541752836779,0,C0 - High Spender  
TX000179,237.06,Debit,Phoenix,Online,71.0,Retired,46.0,1182.77,5.472522742739733,1,C1 - Saver 
TX000180,34.17,Credit,Philadelphia,Online,54.0,Engineer,54.0,726.55,3.5601934464858913,2,C2- Young & Active
TX000181,740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,14464.3,6.6083379503119355,0,C0 - High Spender  
TX000182,453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,12046.3,6.119285918545867,1,C1 - Saver 
TX000183,300.47,Debit,Jacksonville,Branch,73.0,Retired,100.0,7885.64,5.708670508728977,1,C1 - Saver 
TX000184,110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1952.35,4.717873675901176,2,C2- Young & Active
TX000185,201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,7328.52,5.311677718249873,1,C1 - Saver 
TX000186,399.21,Debit,Portland,ATM,59.0,Engineer,109.0,3210.39,5.991989409343697,1,C1 - Saver 
TX000187,1041.88,Debit,Jacksonville,Online,78.0,Retired,57.0,5726.2,6.9497413956491965,0,C0 - High Spender  
TX000188,630.36,Debit,Mesa,ATM,62.0,Retired,52.0,1363.65,6.4478762228342505,0,C0 - High Spender  
TX000189,10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1241.99,2.479894107964456,1,C1 - Saver 
TX000190,215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,7873.28,5.379436417832829,1,C1 - Saver 
TX000191,1422.55,Debit,Washington,Branch,79.0,Retired,165.0,5674.32,7.2609090307938935,0,C0 - High Spender  
TX000193,444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,10328.23,6.100072284828913,1,C1 - Saver 
TX000194,280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,293.24,5.640381084517819,2,C2- Young & Active
TX000195,488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,7486.63,6.193466174668764,1,C1 - Saver 
TX000196,3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,11385.37,1.4586150226995167,1,C1 - Saver 
TX000198,20.36,Debit,Tucson,Branch,62.0,Retired,75.0,2762.48,3.061520014091994,1,C1 - Saver 
TX000200,493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,7432.99,6.202758164464956,1,C1 - Saver 
TX000201,307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1057.0,5.731430066585013,2,C2- Young & Active
TX000202,11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,5956.89,2.4997952622817508,1,C1 - Saver 
TX000203,313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,7261.59,5.752001046926676,1,C1 - Saver 
TX000204,51.0,Debit,Seattle,Branch,64.0,Retired,107.0,4943.16,3.9512437185814275,1,C1 - Saver 
TX000205,140.98,Debit,Memphis,Branch,60.0,Engineer,100.0,8127.48,4.95568620261124,1,C1 - Saver 
TX000206,288.04,Debit,Denver,ATM,68.0,Retired,63.0,1748.02,5.666565086839385,1,C1 - Saver 
TX000207,800.55,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,9660.22,6.6865473531356825,0,C0 - High Spender  
TX000208,485.54,Debit,Houston,ATM,46.0,Engineer,143.0,6371.51,6.187319118184521,1,C1 - Saver 
TX000209,521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,9442.47,6.257954902925557,1,C1 - Saver 
TX000211,304.93,Debit,Portland,ATM,65.0,Doctor,158.0,13531.22,5.723356317613305,1,C1 - Saver 
TX000213,694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1389.37,6.5441995739511825,0,C0 - High Spender  
TX000214,116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,6706.56,4.769497479409767,1,C1 - Saver 
TX000216,74.88,Debit,Atlanta,ATM,25.0,Student,202.0,420.67,4.3291531450668135,2,C2- Young & Active
TX000218,134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,8395.85,4.9104465668408235,1,C1 - Saver 
TX000219,890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,5140.93,6.792613751469205,0,C0 - High Spender  
TX000220,361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,7945.57,5.8923897901667415,1,C1 - Saver 
TX000221,131.56,Debit,Charlotte,Branch,44.0,Doctor,42.0,5873.54,4.887035373118308,1,C1 - Saver 
TX000222,485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,3074.45,6.187257456399393,1,C1 - Saver 
TX000223,547.87,Debit,Columbus,ATM,64.0,Retired,131.0,6155.76,6.307861619298144,1,C1 - Saver 
TX000224,457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,8318.29,6.127523991515078,2,C2- Young & Active
TX000225,506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,230.09,6.228984264366699,0,C0 - High Spender  
TX000226,486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,2513.56,6.189474888783194,1,C1 - Saver 
TX000227,163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,10090.05,5.104004196901704,1,C1 - Saver 
TX000228,581.65,Debit,Boston,ATM,22.0,Student,176.0,480.19,6.367586663019273,2,C2- Young & Active
TX000229,52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1120.88,3.9704805749997147,2,C2- Young & Active
TX000230,630.24,Debit,Boston,ATM,21.0,Student,62.0,370.81,6.447686138879932,2,C2- Young & Active
TX000231,523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,13498.55,6.262902901825497,1,C1 - Saver 
TX000232,705.6,Debit,Phoenix,Branch,40.0,Doctor,124.0,14804.7,6.560464734925045,0,C0 - High Spender  
TX000233,217.5,Credit,Denver,Branch,46.0,Engineer,35.0,3057.4,5.3867860145356445,2,C2- Young & Active
TX000234,91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,14942.78,4.5269924049240675,1,C1 - Saver 
TX000235,5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,14143.32,1.8325814637483102,1,C1 - Saver 
TX000236,54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,6736.3,4.007878491071668,1,C1 - Saver 
TX000237,736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,3313.07,6.603577904001159,0,C0 - High Spender  
TX000239,33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1540.87,3.5281236752345424,1,C1 - Saver 
TX000240,66.5,Credit,Louisville,Online,32.0,Engineer,144.0,6820.23,4.212127597878484,2,C2- Young & Active
TX000242,588.54,Debit,Portland,Branch,32.0,Engineer,130.0,714.45,6.379342571789095,2,C2- Young & Active
TX000243,173.5,Debit,Nashville,ATM,21.0,Student,282.0,1306.91,5.161924741642482,2,C2- Young & Active
TX000244,78.33,Credit,Memphis,Online,56.0,Engineer,189.0,7255.33,4.373616367313912,1,C1 - Saver 
TX000245,40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1153.84,3.729541435832826,1,C1 - Saver 
TX000246,97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,6647.73,4.5872098606110985,1,C1 - Saver 
TX000247,34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,8709.77,3.5573460641520867,2,C2- Young & Active
TX000248,492.06,Debit,Fresno,Online,23.0,Student,74.0,857.9,6.200630870491333,2,C2- Young & Active
TX000249,842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,509.45,6.7369788203277015,0,C0 - High Spender  
TX000250,73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,2812.06,4.311470041210748,1,C1 - Saver 
TX000251,760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,6179.91,6.635329567488305,0,C0 - High Spender  
TX000253,371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,3484.32,5.920746974893695,1,C1 - Saver 
TX000254,218.96,Debit,Seattle,ATM,18.0,Student,13.0,754.21,5.393445711639614,2,C2- Young & Active
TX000255,227.39,Debit,Atlanta,Online,18.0,Student,65.0,751.09,5.431054693986231,2,C2- Young & Active
TX000256,237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,8510.09,5.476421710051968,1,C1 - Saver 
TX000258,341.15,Debit,San Jose,Online,18.0,Student,148.0,511.37,5.835249237398506,2,C2- Young & Active
